date,Private dwelling approvals,Private dwelling approvals trend,Private non-residential building approvals,Consumer sentiment,Business conditions,Participation rate,Year-ended employment growth,Employment to population ratio,Unemployment rate,target_next_month_unemployment_rate
2022-08-31,16.9,15.905,4535.445,81.2436037865938,19.0756618141572,66.5337941,5.5062253156707,64.1867442,3.5276056,3.603002
2022-09-30,16.91,15.928,3773.692,84.4496431411117,20.7925310627005,66.4725721,6.59901107569012,64.077564,3.603002,3.4371031
2022-10-31,15.178,15.678,3858.59,83.7227154060412,17.90291581383,66.3946356,7.31472921692369,64.1125835,3.4371031,3.5169992
2022-11-30,14.785,15.152,4817.055,77.9867021805779,18.8464768460983,66.6282338,4.84849647527297,64.2849193,3.5169992,3.5255267
2022-12-31,16.81,14.477,3287.78,80.2931520351537,10.5395706223396,66.4680393,4.16905351174108,64.1246908,3.5255267,3.6608092
2023-01-31,12.218,13.877,2377.698,84.2937779140251,18.673575692249,66.4762528,3.82872041226285,64.0426841,3.6608092,3.6097116
2023-02-28,13.336,13.506,3997.851,78.4504851449804,15.4056422993443,66.4322835,3.5392144918206,64.0342696,3.6097116,3.5940567
2023-03-31,12.996,13.403,4139.682,78.4660155032369,14.0414945039739,66.6591749,4.04395711549064,64.2634064,3.5940567,3.7026068
2023-04-30,13.056,13.433,3512.778,85.8226470155292,13.7447277576206,66.5879439,3.56208422083892,64.1224541,3.7026068,3.586556
2023-05-31,15.618,13.534,3861.092,79.0137234714385,10.4722750872718,66.7885454,3.92878939369523,64.3931368,3.586556,3.5151971
2023-06-30,13.144,13.674,4348.397,79.1542022929849,9.40366555946403,66.6418454,3.28018253733828,64.2992531,3.5151971,3.7150386
2023-07-31,12.704,13.803,3956.783,81.2885649559687,9.32282980004883,66.6081741,3.19674493147835,64.1336547,3.7150386,3.6803952
2023-08-31,13.172,13.848,4785.265,80.9855908897383,12.0246576963682,66.7607046,3.18566095492774,64.3036468,3.6803952,3.5642125
2023-09-30,13.909,13.84,4287.527,79.7406164889749,7.75220454715823,66.4848543,3.0817796446869,64.1151928,3.5642125,3.7801965
2023-10-31,14.36,13.731,4375.103,82.0439196550365,8.61588533861903,66.7749565,3.19774472934709,64.2507319,3.7801965,3.9328579
2023-11-30,14.5,13.522,3829.083,79.938551434449,7.11782741283283,66.9880703,3.04048432950568,64.3535246,3.9328579,3.985756
2023-12-31,13.375,13.283,4035.779,82.0690829679926,4.45123423561815,66.6511497,2.67689478349575,63.9945975,3.985756,4.0908306
2024-01-31,12.923,13.051,3544.09,80.9820204679332,5.18492963518289,66.5655212,2.49646037063231,63.8424385,4.0908306,3.7392353
2024-02-29,12.815,12.993,3046.392,86.0201586598618,6.95158287640723,66.6716912,2.9823878851926,64.1786798,3.7392353,3.8962398
2024-03-31,13.397,13.142,3719.44,84.438131983684,6.36248442501941,66.5291707,2.1622796935425,63.9370347,3.8962398,4.0801856
2024-04-30,13.56,13.403,2930.861,82.4381056379992,5.64196632638793,66.7467117,2.4242663483471,64.023322,4.0801856,3.9998661
2024-05-31,14.584,13.714,4850.457,82.2265272480313,5.77004762290023,66.757835,1.99608309056651,64.087611,3.9998661,4.0296561
2024-06-30,13.004,14.006,3186.626,83.6075084878703,1.19769574497973,66.8027476,2.08225712895063,64.1108266,4.0296561,4.1985055
2024-07-31,14.827,14.298,4685.156,82.72372744171,3.82339773593894,67.074727,2.47937738683215,64.2585909,4.1985055,4.1281505
2024-08-31,14.111,14.548,3901.657,85.0409325976316,0.68471238344728,67.0762276,2.18413919311722,64.30722,4.1281505,4.0227871
2024-09-30,14.628,14.754,4344.661,84.6295016580129,4.03880790227096,67.0725978,2.4900302162189,64.37441,4.0227871,4.0927247
2024-10-31,15.745,14.898,4416.376,89.8355735260196,3.2638594107776,67.0213467,2.07010271455474,64.2783475,4.0927247,3.9369707
2024-11-30,14.808,14.959,4093.694,94.6206622259959,-0.1783619519832,66.9115051,1.85445751552022,64.2772187,3.9369707,3.9972501
2024-12-31,15.301,14.952,5019.779,92.7672439317145,1.80126564853781,67.0826466,2.57224548903998,64.4011855,3.9972501,4.1250222
2025-01-31,15.229,14.964,2917.458,92.1407056026904,0.95085137059348,67.1922881,2.81695688456178,64.4205913,4.1250222,4.0715095
2025-02-28,16.551,15.094,3062.391,92.2114993346647,0.0475121748607501,66.6772477,1.5206930908907,63.9624772,4.0715095,4.0778075
2025-03-31,15.331,15.254,4934.402,95.9001509126772,0.44452606837771,66.6928985,1.89140974601598,63.9732905,4.0778075,4.053699
2025-04-30,15.047,15.457,6382.246,90.1413786507673,-0.27283392014762,67.0778492,2.36230424763941,64.3587151,4.053699,4.0940002
2025-05-31,15.941,15.622,5881.838,92.1145221600161,-1.4436314492598,67.0006437,2.09422380159576,64.2576372,4.0940002,4.3122664
2025-06-30,16.427,15.763,4578.938,92.5962615081015,4.79686201573036,66.9538539,1.74910335690333,64.0666254,4.3122664,4.2456784
2025-07-31,15.476,16.011,4807.211,93.1356373033033,3.25302678457786,66.9874606,1.6418404294486,64.1433885,4.2456784,4.2480821
2025-08-31,15.019,16.267,4540.582,98.4650608241201,5.17868903433832,66.8237207,1.3192368817586,63.9849942,4.2480821,4.4518465
2025-09-30,17.855,16.538,4511.562,95.4367847826256,5.46405150615646,66.9063146,1.12795456160122,63.9277482,4.4518465,4.3331079
2025-10-31,15.999,16.762,4533.841,92.0656193478956,7.65937666777143,66.8944908,1.37416049078969,63.9958803,4.3331079,4.3226083
2025-11-30,18.449,16.945,5206.637,103.817646728426,4.58424337181813,66.6306845,0.97444261997492,63.7505009,4.3226083,4.116373
2025-12-31,15.709,17.042,5530.308,94.5000669307091,6.78946299409373,66.6679132,1.04098162581332,63.9236133,4.116373,4.0798679
2026-01-31,13.42,17.062,4394.059,92.9081644189245,3.73599969711463,66.6869806,1.06095087041458,63.9662398,4.0798679,4.3016255
2026-02-28,19.621,17.093,6349.649,90.499084437913,3.1645066113766,66.8242878,1.74156284196891,63.9497571,4.3016255,4.2783386
2026-03-31,16.804,17.244,5020.038,91.5977330660686,2.35457566241685,66.7794739,1.66396452909336,63.9224218,4.2783386,4.4904846
2026-04-30,17.143,17.457,6330.896,80.1491668778667,-0.62942794697852,66.6711404,0.67538856207872,63.677283,4.4904846,4.3713481
2026-05-31,16.646,17.663,10597.2,82.9789063102771,-0.58285760450988,66.7059561,1.02007147198337,63.7900066,4.3713481,4.4283437
